company_name,domain,linkedin_url,missing_fields
SOC Telemed,accesstelecare.com,,linkedin_url
Lsnly,lsnly.ai,,linkedin_url
Lulo,luloworld.com,,linkedin_url
Dream Capital,sonarcapital.com,,linkedin_url
metalimits,metalimits.com,,linkedin_url
SmartStream,smart.stream,,linkedin_url
Moduleq,moduleq.com,,linkedin_url
Sisthema S.p.A.,sisthemaspa.it,,linkedin_url
Signalhorn,signalhorn.com,,linkedin_url
NORTH EAST SCHOOL DISTRICT,nesd1.org,,linkedin_url
Entrib Analytics,shopworx.io,,linkedin_url
Secure Education Consultants LLC,secprotects.com,,linkedin_url
NHB LLC,nhbmt.biz,,linkedin_url
Non Company,non-company.com,,linkedin_url
Octoly,octoly.com,,linkedin_url
SD4,sd4.com.br,,linkedin_url
OnTrack Web Design,otwebdesign.com,,linkedin_url
OVA,ova.ngo,,linkedin_url
Parchment Valley Conference Center,parchmentvalley.org,,linkedin_url
PayForIT,payforit.net,,linkedin_url
PC Workshop,pcworkshop.org,,linkedin_url
Pemmerations,pemmerations.com,,linkedin_url
unobject,suaclinica.digital,,linkedin_url
LFC,lfc.com,,linkedin_url
Lawrence Automotive,lawrence-automotive.com,,linkedin_url
SunGard K-12,sungardk12.com,,linkedin_url
Cristo Rey,cristoreytc.org,,linkedin_url
DEAP School,deapschool.org,,linkedin_url
DM Distribuciones-Hosteleria,dm.com,,linkedin_url
Dua Systems,dua.systems,,linkedin_url
Netwise Resources,netwiseresources.com,,linkedin_url
Laika,thoropass.com,,linkedin_url
"Eureka, Inc.",eure.jp,,linkedin_url
Thinkablemedia,thinkablemedia.com,,linkedin_url
FloodSimple Insurance Services,floodsimple.com,,linkedin_url
GoAskJay,goaskjay.com,,linkedin_url
pixiil,pixiil.com,,linkedin_url
The Greatminds Company,greatminds.dk,,linkedin_url
HAYES CONSTRUCTION CO INC,hayescon.net,,linkedin_url
HeHe,hehe.rw,,linkedin_url
HEY,hey.com,,linkedin_url
Hired Hands,hiredhandsinc.com,,linkedin_url
SHR Group,theaccessgroup.com,,linkedin_url
Teamsters Local 399,ht399.org,,linkedin_url
"i/o Software, Inc.",iosoftware.com,,linkedin_url
"InnoVantage, Inc.",ivantageapps.com,,linkedin_url
JBA Infotech Pvt. Ltd.,jbai.com,,linkedin_url
Teal,tealtech.com,,linkedin_url
Global Talent Track,gttconnect.com,,linkedin_url
Pompes Funèbres,pompesfunebresvaucluse.com,,linkedin_url
propertyR Limited,property-r.com,,linkedin_url
