company_name,domain,linkedin_url,missing_fields,linkedin_guessed
SOC Telemed,accesstelecare.com,https://www.linkedin.com/company/accesstelecare,linkedin_url,True
Lsnly,lsnly.ai,https://www.linkedin.com/company/lsnly,linkedin_url,True
Lulo,luloworld.com,https://www.linkedin.com/company/luloworld,linkedin_url,True
Dream Capital,sonarcapital.com,https://www.linkedin.com/company/sonarcapital,linkedin_url,True
metalimits,metalimits.com,https://www.linkedin.com/company/metalimits,linkedin_url,True
SmartStream,smart.stream,https://www.linkedin.com/company/smart,linkedin_url,True
Moduleq,moduleq.com,https://www.linkedin.com/company/moduleq,linkedin_url,True
Sisthema S.p.A.,sisthemaspa.it,https://www.linkedin.com/company/sisthemaspa,linkedin_url,True
Signalhorn,signalhorn.com,https://www.linkedin.com/company/signalhorn,linkedin_url,True
NORTH EAST SCHOOL DISTRICT,nesd1.org,https://www.linkedin.com/company/nesd1,linkedin_url,True
Entrib Analytics,shopworx.io,https://www.linkedin.com/company/shopworx,linkedin_url,True
Secure Education Consultants LLC,secprotects.com,https://www.linkedin.com/company/secprotects,linkedin_url,True
NHB LLC,nhbmt.biz,https://www.linkedin.com/company/nhbmt,linkedin_url,True
Non Company,non-company.com,https://www.linkedin.com/company/non-company,linkedin_url,True
Octoly,octoly.com,https://www.linkedin.com/company/octoly,linkedin_url,True
SD4,sd4.com.br,https://www.linkedin.com/company/com,linkedin_url,True
OnTrack Web Design,otwebdesign.com,https://www.linkedin.com/company/otwebdesign,linkedin_url,True
OVA,ova.ngo,https://www.linkedin.com/company/ova,linkedin_url,True
Parchment Valley Conference Center,parchmentvalley.org,https://www.linkedin.com/company/parchmentvalley,linkedin_url,True
PayForIT,payforit.net,https://www.linkedin.com/company/payforit,linkedin_url,True
PC Workshop,pcworkshop.org,https://www.linkedin.com/company/pcworkshop,linkedin_url,True
Pemmerations,pemmerations.com,https://www.linkedin.com/company/pemmerations,linkedin_url,True
unobject,suaclinica.digital,https://www.linkedin.com/company/suaclinica,linkedin_url,True
LFC,lfc.com,https://www.linkedin.com/company/lfc,linkedin_url,True
Lawrence Automotive,lawrence-automotive.com,https://www.linkedin.com/company/lawrence-automotive,linkedin_url,True
SunGard K-12,sungardk12.com,https://www.linkedin.com/company/sungardk12,linkedin_url,True
Cristo Rey,cristoreytc.org,https://www.linkedin.com/company/cristoreytc,linkedin_url,True
DEAP School,deapschool.org,https://www.linkedin.com/company/deapschool,linkedin_url,True
DM Distribuciones-Hosteleria,dm.com,https://www.linkedin.com/company/dm,linkedin_url,True
Dua Systems,dua.systems,https://www.linkedin.com/company/dua,linkedin_url,True
Netwise Resources,netwiseresources.com,https://www.linkedin.com/company/netwiseresources,linkedin_url,True
Laika,thoropass.com,https://www.linkedin.com/company/thoropass,linkedin_url,True
"Eureka, Inc.",eure.jp,https://www.linkedin.com/company/eure,linkedin_url,True
Thinkablemedia,thinkablemedia.com,https://www.linkedin.com/company/thinkablemedia,linkedin_url,True
FloodSimple Insurance Services,floodsimple.com,https://www.linkedin.com/company/floodsimple,linkedin_url,True
GoAskJay,goaskjay.com,https://www.linkedin.com/company/goaskjay,linkedin_url,True
pixiil,pixiil.com,https://www.linkedin.com/company/pixiil,linkedin_url,True
The Greatminds Company,greatminds.dk,https://www.linkedin.com/company/greatminds,linkedin_url,True
HAYES CONSTRUCTION CO INC,hayescon.net,https://www.linkedin.com/company/hayescon,linkedin_url,True
HeHe,hehe.rw,https://www.linkedin.com/company/hehe,linkedin_url,True
HEY,hey.com,https://www.linkedin.com/company/hey,linkedin_url,True
