company_name,domain,linkedin_url,missing_fields,linkedin_guessed,ceo_founder,source
SOC Telemed,accesstelecare.com,https://www.linkedin.com/company/accesstelecare,linkedin_url,True,Unknown,
Lsnly,lsnly.ai,https://www.linkedin.com/company/lsnly,linkedin_url,True,Unknown,
Lulo,luloworld.com,https://www.linkedin.com/company/luloworld,linkedin_url,True,Unknown,
Dream Capital,sonarcapital.com,https://www.linkedin.com/company/sonarcapital,linkedin_url,True,Unknown,
metalimits,metalimits.com,https://www.linkedin.com/company/metalimits,linkedin_url,True,Unknown,
SmartStream,smart.stream,https://www.linkedin.com/company/smart,linkedin_url,True,Unknown,
Moduleq,moduleq.com,https://www.linkedin.com/company/moduleq,linkedin_url,True,Unknown,
Sisthema S.p.A.,sisthemaspa.it,https://www.linkedin.com/company/sisthemaspa,linkedin_url,True,Unknown,
Signalhorn,signalhorn.com,https://www.linkedin.com/company/signalhorn,linkedin_url,True,Unknown,
NORTH EAST SCHOOL DISTRICT,nesd1.org,https://www.linkedin.com/company/nesd1,linkedin_url,True,Unknown,
Entrib Analytics,shopworx.io,https://www.linkedin.com/company/shopworx,linkedin_url,True,Unknown,
Secure Education Consultants LLC,secprotects.com,https://www.linkedin.com/company/secprotects,linkedin_url,True,Unknown,
NHB LLC,nhbmt.biz,https://www.linkedin.com/company/nhbmt,linkedin_url,True,Unknown,
Non Company,non-company.com,https://www.linkedin.com/company/non-company,linkedin_url,True,Unknown,
Octoly,octoly.com,https://www.linkedin.com/company/octoly,linkedin_url,True,Unknown,
SD4,sd4.com.br,https://www.linkedin.com/company/com,linkedin_url,True,Unknown,
OnTrack Web Design,otwebdesign.com,https://www.linkedin.com/company/otwebdesign,linkedin_url,True,Unknown,
OVA,ova.ngo,https://www.linkedin.com/company/ova,linkedin_url,True,Unknown,
Parchment Valley Conference Center,parchmentvalley.org,https://www.linkedin.com/company/parchmentvalley,linkedin_url,True,Unknown,
PayForIT,payforit.net,https://www.linkedin.com/company/payforit,linkedin_url,True,Unknown,
PC Workshop,pcworkshop.org,https://www.linkedin.com/company/pcworkshop,linkedin_url,True,Unknown,
Pemmerations,pemmerations.com,https://www.linkedin.com/company/pemmerations,linkedin_url,True,Unknown,
unobject,suaclinica.digital,https://www.linkedin.com/company/suaclinica,linkedin_url,True,Unknown,
LFC,lfc.com,https://www.linkedin.com/company/lfc,linkedin_url,True,Unknown,
Lawrence Automotive,lawrence-automotive.com,https://www.linkedin.com/company/lawrence-automotive,linkedin_url,True,Unknown,
SunGard K-12,sungardk12.com,https://www.linkedin.com/company/sungardk12,linkedin_url,True,Unknown,
Cristo Rey,cristoreytc.org,https://www.linkedin.com/company/cristoreytc,linkedin_url,True,Unknown,
DEAP School,deapschool.org,https://www.linkedin.com/company/deapschool,linkedin_url,True,Unknown,
DM Distribuciones-Hosteleria,dm.com,https://www.linkedin.com/company/dm,linkedin_url,True,Unknown,
Dua Systems,dua.systems,https://www.linkedin.com/company/dua,linkedin_url,True,Unknown,
Netwise Resources,netwiseresources.com,https://www.linkedin.com/company/netwiseresources,linkedin_url,True,Unknown,
Laika,thoropass.com,https://www.linkedin.com/company/thoropass,linkedin_url,True,Unknown,
"Eureka, Inc.",eure.jp,https://www.linkedin.com/company/eure,linkedin_url,True,Unknown,
Thinkablemedia,thinkablemedia.com,https://www.linkedin.com/company/thinkablemedia,linkedin_url,True,Unknown,
FloodSimple Insurance Services,floodsimple.com,https://www.linkedin.com/company/floodsimple,linkedin_url,True,Unknown,
GoAskJay,goaskjay.com,https://www.linkedin.com/company/goaskjay,linkedin_url,True,Unknown,
pixiil,pixiil.com,https://www.linkedin.com/company/pixiil,linkedin_url,True,Unknown,
The Greatminds Company,greatminds.dk,https://www.linkedin.com/company/greatminds,linkedin_url,True,Unknown,
HAYES CONSTRUCTION CO INC,hayescon.net,https://www.linkedin.com/company/hayescon,linkedin_url,True,Unknown,
HeHe,hehe.rw,https://www.linkedin.com/company/hehe,linkedin_url,True,Unknown,
HEY,hey.com,https://www.linkedin.com/company/hey,linkedin_url,True,Unknown,
Hired Hands,hiredhandsinc.com,https://www.linkedin.com/company/hiredhandsinc,linkedin_url,True,Unknown,
SHR Group,theaccessgroup.com,https://www.linkedin.com/company/theaccessgroup,linkedin_url,True,Unknown,
Teamsters Local 399,ht399.org,https://www.linkedin.com/company/ht399,linkedin_url,True,Unknown,
"i/o Software, Inc.",iosoftware.com,https://www.linkedin.com/company/iosoftware,linkedin_url,True,Unknown,
"InnoVantage, Inc.",ivantageapps.com,https://www.linkedin.com/company/ivantageapps,linkedin_url,True,Unknown,
JBA Infotech Pvt. Ltd.,jbai.com,https://www.linkedin.com/company/jbai,linkedin_url,True,Unknown,
Teal,tealtech.com,https://www.linkedin.com/company/tealtech,linkedin_url,True,Unknown,
Global Talent Track,gttconnect.com,https://www.linkedin.com/company/gttconnect,linkedin_url,True,Unknown,
Pompes Funèbres,pompesfunebresvaucluse.com,https://www.linkedin.com/company/pompesfunebresvaucluse,linkedin_url,True,Unknown,
propertyR Limited,property-r.com,https://www.linkedin.com/company/property-r,linkedin_url,True,Unknown,
"Purilum, LLC",purilum.com,https://www.linkedin.com/company/purilum,linkedin_url,True,Unknown,
HUVIAiR,huviair.com,https://www.linkedin.com/company/huviair,linkedin_url,True,Unknown,
Market Street Software Inc,perficient.com,https://www.linkedin.com/company/perficient,linkedin_url,True,Unknown,
iad France,iadfrance.fr,https://www.linkedin.com/company/iadfrance,linkedin_url,True,Unknown,
Induction Healthcare Group PLC,inductionhealthcare.com,https://www.linkedin.com/company/inductionhealthcare,linkedin_url,True,Unknown,
Gimbal Inc.,infillion.com,https://www.linkedin.com/company/infillion,linkedin_url,True,Unknown,
AIC,innovasolutions.com,https://www.linkedin.com/company/innovasolutions,linkedin_url,True,Unknown,
Intact,intact-systems.com,https://www.linkedin.com/company/intact-systems,linkedin_url,True,Unknown,
IntegrateHQ Inc,integratehq.com,https://www.linkedin.com/company/integratehq,linkedin_url,True,Unknown,
IterativeScopes,iterative.health,https://www.linkedin.com/company/iterative,linkedin_url,True,Unknown,
All-Care Physical Therapy Center,ivyrehab.com,https://www.linkedin.com/company/ivyrehab,linkedin_url,True,Unknown,
YML Innovation,ymlinnovation.com.au,https://www.linkedin.com/company/com,linkedin_url,True,Unknown,
Pearson Vue,pearsonvue.com,https://www.linkedin.com/company/pearsonvue,linkedin_url,True,Unknown,
Pathtothecsuite,pathtothecsuite.com,https://www.linkedin.com/company/pathtothecsuite,linkedin_url,True,Unknown,
KGPCo,kgptel.com,https://www.linkedin.com/company/kgptel,linkedin_url,True,Unknown,
KPMG LLP,kpmguniversityconnection.com,https://www.linkedin.com/company/kpmguniversityconnection,linkedin_url,True,Unknown,
Omega World Travel,owt.net,https://www.linkedin.com/company/owt,linkedin_url,True,Unknown,
One More Cloud,omc.io,https://www.linkedin.com/company/omc,linkedin_url,True,Unknown,
The Buren Insurance Group Inc,libertycompany.com,https://www.linkedin.com/company/libertycompany,linkedin_url,True,Unknown,
Marvel Medical Staffing,luvohealthcare.com,https://www.linkedin.com/company/luvohealthcare,linkedin_url,True,Unknown,
Altima Technologies,netzoom.com,https://www.linkedin.com/company/netzoom,linkedin_url,True,Unknown,
micro4,micro4.com,https://www.linkedin.com/company/micro4,linkedin_url,True,Unknown,
"Monster Worldwide, Inc.",monsterindia.com,https://www.linkedin.com/company/monsterindia,linkedin_url,True,Unknown,
College Nannies,jovie.com,https://www.linkedin.com/company/jovie,linkedin_url,True,Unknown,
Crawford&grey,crawfordandgrey.com,https://www.linkedin.com/company/crawfordandgrey,linkedin_url,True,Unknown,
